property_listing_id,property_title,property_property_type,property_project_name,property_bhk,property_bathrooms,property_builtup_area_sqft,property_carpet_area_sqft,property_furnishing,property_possession,property_posted_on,price_price,price_price_per_sqft,price_total_price_text,loc_city_id,loc_locality_id,loc_address,loc_latitude,loc_longitude,images_all,nearby_summary
T88317842,"Flat/Apartment for Sale in Rashmi Nivaasa, Shela, Ahmedabad",Flat/Apartment,Rashmi Nivaasa,3,3,117.06,968.0,Unfurnished,Immediate,Updated 1w ago by dealer,7500000,4285,Rs75 Lac,49,27163,"in Rashmi Nivaasa, Shela, Ahmedabad",,,,Thaltej Gam Metro Station (None) | TRP Mall (None) | Apollo International School  South Bopal (None) | Anant National University (None) | Krishna Shalby Multi-Specialty Hospital (None) | SVP International Airport (None) | Parshwanath Business Park (None) | Wyndham Ahmedabad Shela (None) | Kalhaar Blues & Greens Golf Club (None)
G73399805,"Residential Land/Plot for Sale in Govindpura, Ahmedabad",Residential Land/Plot,,0,0,1487.0,,,Immediate,Updated 1m ago by dealer,17800000,"11,970",Rs1.78 Crore,49,1152227,"in Govindpura, Ahmedabad",,,,
J88172498,"Flat/Apartment for Sale in Vyapti Vandematram Fabula, Charodi, Gota, Ahmedabad North",Flat/Apartment,Vyapti Vandematram Fabula,2,2,,110.0,Unfurnished,Immediate,Updated 2w ago by dealer,6500000,"43,918",Rs65 Lac,1008530,6079,"in Vyapti Vandematram Fabula, Charodi, Gota, Ahmedabad North",,,,Prime Dental Care (None) | vizcare hospital (None) | Dr Yashvant Chhatbar (None) | Mahavir Clinic and Nursing Home (None) | Health Center (None) | Vraj Dental Clinic (None) | Samarpan General Hospital Ahmedabad (None) | Navkar Dental Clinic (None) | New Parking (None) | Management Parking (None) | D-cabin (None) | Vallabhpark (None) | Kalupur cooperative commercial bank (None) | Management Mess (None) | F1 Pharma Canteen (None) | NIM Auditorium (None) | Silver Oak College Of Engineering & Technology (None) | Chandkheda road railway station (None)
K87956018,"Flat/Apartment for Sale in Green View, Adani Shantigram, Vaishnodevi Circle",Flat/Apartment,Green View,3,3,216.93,1284.0,Unfurnished,Immediate,Updated 3w ago by dealer,16000000,6852,Rs1.6 Crore,1008530,19501,"in Green View, Adani Shantigram, Vaishnodevi Circle",,,,Ranip Metro Station (None) | Adani Shantigram Mall (None) | SG Highway (None) | Khodiyar Primary School (None) | Nirma University (None) | KD Hospital (None) | Ahmedabad Domestic Airport (None) | Khodiyar Railway Station (None) | Belevedere Golf & Country Club (None)
K87090182,"Flat/Apartment for Sale in Ratnabhumi Turquoise Grandeure, Wapa, Godhavi, Ahmedabad",Flat/Apartment,Ratnabhumi Turquoise Grandeure,4,4,162.95,1540.0,Unfurnished,Immediate,Updated 1m ago by dealer,13300000,4750,Rs1.33 Crore,49,1075339,"in Ratnabhumi Turquoise Grandeure, Wapa, Godhavi, Ahmedabad",,,,D Mart (None) | Star Bazaar (None) | Mini Osia Mart (None) | Global Mission Intl School (None) | Anant National University (None) | Sansakardham Cmpus (None) | Zydus School of Excellence (None) | Krishna Shalby Hospital (None) | Advait Multispecialty Hospital (None) | Bopal ICU Trauma Centre (None) | Bucephalus Riding Polo Club (None) | Pleasure Club (None) | Karnavati Club (None) | RH Patel Cricket Ground (None) | Universal Cricket Academy (None)
M86506436,"Flat/Apartment for Sale in Vishwanath Maher Select, Shela, Ahmedabad",Flat/Apartment,Vishwanath Maher Select,3,3,104.42,968.0,Unfurnished,Immediate,Posted 2m ago by dealer,8600000,4914,Rs86 Lac,49,27163,"in Vishwanath Maher Select, Shela, Ahmedabad",,,,Iscon Mega Mall (None) | VIP Road (None) | Shanti Asiatic School (None) | LJ University (None) | Krishna Shalby Hospital (None) | Vallabhbhai Patel Intl Airport (None) | Goraghuma Railway Station (None)
A86412768,"Flat/Apartment for Sale in Safal Riviera Aspire, Shela, Ahmedabad",Flat/Apartment,Safal Riviera Aspire,4,4,,1694.35,Unfurnished,Immediate,Updated 2m ago by dealer,20500000,"12,099",Rs2.05 Crore,49,27163,"in Safal Riviera Aspire, Shela, Ahmedabad",,,,"Applewoods Galleria Mall (None) | VIP Rd (None) | NH147, Gujarat (None) | MICA (None) | Apple Global School (None) | Sahyog Hospital (None) | SVP International Airport (None) | Ahmedabad Junction (None) | Parshwanath Business Park (None) | Taj Skyline, Ahmedabad (None) | Joybox Fun & Food Park (None) | Gulmohar Greens Golf & Country Club (None)"
B86661184,"Flat/Apartment for Sale in JALARAM REAL ESTATE , Pranami Nagar, Vastral",Flat/Apartment,JALARAM REAL ESTATE ,3,3,177.26,1550.0,Unfurnished,Immediate,Updated 3w ago by dealer,8100000,4245,Rs81 Lac,48,25085,"in JALARAM REAL ESTATE , Pranami Nagar, Vastral",,,,Nirant cross roads metro station (None) | Vastral gam metro station (None) | Vastral metro station (None) | Shreedhar Hospital Ahmedabad (None) | Hariom Multispeciality Hospital (None) | Shukan Maternity Home (None) | Kuvar Ba General Hospital (None) | Rangam Multispeciality Hospital (None) | Odhav Orthopaedic Hospital (None) | Dhwani General Hospital Nursing Home and Materity Home (None) | Dhwani General Hospital Nursing Home and Maternity Home (None) | Gujarat Hospital Ahmedabad (None) | Jayshri Medical Hospital (None) | Divya Jeevan Medical Hospital (None) | Rajput Eye Hospital (None) | Shubham Ent Hospital (None) | Shivam Eye Hospital (None) | Ashirwad Surgical Hospital C.T.M (None) | Bhakti Maternity and Sonography Clinic (None) | Prabhu Nursing Home Ahmedabad (None) | Nadkarni's 21St Century Hospitals Pvt Ltd (None) | Loving Community (None) | Maninagar Bus stop (None) | Petrol CNG pump (None) | Tan-man bhaji pav (None) | Hotel Purohit Por (None) | VIVEKANAND VIDYALAYA (None)
I79009045,"Flat/Apartment for Sale in Mahavir Santerian Vista, Gulbai Tekra, CG Road, Ahmedabad",Flat/Apartment,Mahavir Santerian Vista,3,3,192.31,1242.0,Unfurnished,Immediate,Updated 2d ago by dealer,16500000,7971,Rs1.65 Crore,49,5954,"in Mahavir Santerian Vista, Gulbai Tekra, CG Road, Ahmedabad",,,,Eye Care Hospital Pvt. Ltd. (None) | Dr. Trivedis Arthroscopy Clinic And Hospital (None) | Mangeet Medical Nursing Home and Heart Care (None) | Vision Care Eye Hospital Ahmedabad (None) | Cure Sight Laser Centre (None) | Shyam Urological Hospital (None) | Netralaya-The Eye Associates (None) | Dr. Rajiv Thakores Hospital (None) | Khandwala Orthopeadic HospitalandSkin Clinic (None) | Babul E.N.T. Hospital (None) | Diva Eye Institute Hospital (None) | Amdawad Eye Laser Hospitals Pvt Ltd (None) | Sarthak Orthopaedic Hospital Parimal Crosssing (None) | Jarmarwala Hospital (None) | Khush Eye Hospital (None) | Siddhivinayak Hospital Ahmedabad (None) | Om Surgical Nursing Home (None) | Talsania Clinic (None) | Parimal Multispeciality Hospital (None) | Dr.Santosh C.Raibagkar (None) | Planet Women Fertility and Counseling (None) | Rushil Cancer And Endocrine Care (None) | Jagdish Orthopadic Hospital (None) | Maniar Hospital (None) | Centre For Sight Ahmedabad (None) | Dr.Joshi Maternity And Gynec Hospital (None) | Niyati Ent Hospital (None) | Shree Harikrupa Hospital (None) | Aash Arthoscopy Centre (None) | Saumya Children Hospital and Neonatal Care Center (None) | Atlanta (None) | BSNL (None) | Jasuben Pizza (None) | McDonald's (None) | Swati Snacks (None) | Tandoorworkz (None) | Puffiza (None) | Takshshila Food Court (None) | Cafe Coffee Day (None) | The Waffling Station (None) | Deshi Chulha Non-veg (None) | Real Paprika (None) | Unlocked (None) | Government Polytechnic (None) | St. Xavier's College (None) | Sahajanand College (None) | SLIMS - Som Lalit Institute of Management Studies (None) | Schoolnet India Limited (None) | Ochre Revival (None) | British library ahmedabad (None)
Z87862720,"Independent House/Villa for Sale in Nr Dasaporval road, Paldi, Ahmedabad",Independent House/Villa,Nr Dasaporval road,4,4,288.0,,Furnished,Immediate,Updated 3w ago by dealer,41500000,1.04 L,Rs4.15 Crore,49,1548,"in Nr Dasaporval road, Paldi, Ahmedabad",,,,Jalaram Mandir (None) | Temple (None) | Shahi Masjid - Dargah Hazrat Ali Sher Bangali (None) | Navkar Plastic Surgery Hospital (None) | Saraiya Plastic Surgery And Burns Hospital (None) | Gheewala Hospital (None) | Krupanidhi Hospital (None) | R. Tolat Eye Clinic (None) | Aarna Super Speciality Hospital (None) | Aash Arthoscopy Centre (None) | Sannidhya Hospital (None) | Bavishi Hospital (None) | Long Life Hospital Ahmedabad (None) | Dr.Joshi Maternity And Gynec Hospital (None) | Gandhi Uro Care (None) | Gujrat Diagnostic Center and Pathology Laboratory (None) | Talsania Clinic (None) | Om Surgical Nursing Home (None) | Parimal Multispeciality Hospital (None) | Jyoti Eye Hospital- Phaco Laser Centre (None) | Vrundavan Children Hospital (None) | Nishant E N T Hospital (None) | Siddhivinayak Hospital Ahmedabad (None) | Shree Harikrupa Hospital (None) | Khush Eye Hospital (None) | Niyati Ent Hospital (None) | Shaurya Hospital Ahmedabad (None) | Dr.Santosh C.Raibagkar (None) | Stavan Eye Clinic (None) | Sarthak Orthopaedic Hospital Parimal Crosssing (None) | Amardeep Multispeciality Children Hospital (None) | Dr Praful Munishi's Nursing Home (None) | Peshant House Hospital (None) | Dr. Atul H Kansara E.N.T Hospital (None) | Diva Eye Institute Hospital (None) | Dr. Devendra Kanaiyalal Hospital and Nursing Home (None) | Shyam Urological Hospital (None) | Netralaya-The Eye Associates (None) | Cure Sight Laser Centre (None) | Sushrut Hospital Ahmedabad (None) | Shushtrut Hospital (None) | Paldi Bus Stand (None) | CNG Adani (None) | Hindustan Petroleum Station (None) | Hdfc bank paldi branch (None) | Udipi Cafe (None) | Tandoorworkz (None) | Navchetan School (None) | 9 Aple Web (None) | Sakar Granito India Pvt. Ltd. (None)
